conference_acronym	conference_name	conference_location
ICITA 2016 	 International Colloquium on Information Technology Theory and Application	Meknes, Morocco
SNLP 2016 	 The Eleventh International Symposium on Natural Language Processing	Classic Kameo Hotel & Serviced Apartment
SETN 2016 	 9th Hellenic Conference on Artificial Intelligence	Thessaloniki, Greece
BDAS 2016 	 12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures 	Ustron near Krakow (Cracow), Poland
HAIS 2016 	 The 11th International Conference on Hybrid Artificial Intelligence Systems	Sevilla, Spain
PIS@WorldCist 2016 	 Pervasive Information Systems	Recife, PE, Brazil
JMath-SI 2015 	 Special Issue on Metaheuristics and Hybrid Methods for Combinatorial Optimization Problems	N/A
Advances in Learning with Kernels@ESANN 2016 	 **deadline extended** Special session - Advances in Learning with Kernels: Theory and Practice in a World of growing Constraints	Bruges (Belgium)
ICAPS 2016 	 The 26th International Conference on Automated Planning and Scheduling	London, UK
ESANN 2016 	 European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges (Belgium)
AAMAS 2016 	 International Conference on Autonomous Agents and Multiagent Systems	Singapore
FLAIRS-RS 2016 	 Florida Artificial Intelligence Research Society - RecSys Special Track	Key Largo, FL USA
FLAIRS 2016 	 The 29th International FLAIRS Conference 	Key Largo, Florida, USA
EvoMUSART 2017 	 6th International Conference on Computational Intelligence in Music, Sound, Art and Design	Amsterdam
IJCNN SS on Audio Applications 2017 	 IJCNN 2017 Special Session on Computational Intelligence Algorithms for Digital Audio Applications	Anchorage
Big Data Analytics@IJCNN 2017 	 Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
IJKDB Special issue 2017 	 International Journal of Knowledge Discovery in Bioinformatics - Special Issue	N/A
IJCNN 2017 	 International Joint Conference on Neural Networks	Anchorage, Alaska
ESANN 2017 	 25th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	Bruges, Belgium
Randomized ML @ ESANN 2017 	 Randomized Machine Learning approaches: analysis and developments	Bruges, Belgium
ICAISC 2017 	 International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
ICRMM 2017 	 2017 4th International Conference on Robotics, Mechanics and Mechatronics (ICRMM 2017)-Ei and Scopus	Penang, Malaysia
FLAIRS 2017 	 FLAIRS-30:  Special Track in Data Mining	Marco Island, Florida
RecSys@FLAIRS 2017 	 Recommender Systems Special Track at the International FLAIRS Conference	Marco Island
CBR@FLAIRS 2017 	 FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island
EACL SRW 2017 	 EACL 2017 Student Research Workshop	Valencia
ICSCE 2017 	 International Conference on Soft Computing in Engineering 	Jaipur, India
ICBCB 2017 	 5th International Conference on Bioinformatics and Computational Biology -ACM	Hong Kong
ICAAI 2017 	 International Conference on Advances in Artificial Intelligence -EI Compendex, Scopus, and ISI CPCS	Bangkok, Thailand
BigData-FAB 2016 	 Special Issue on “Big Data and Machine Learning in Finance, Accounting and Business” in Electronic Commerce Research (Springer)	N/A
CMVIT  2017 	 2017 International Conference on Machine Vision and Information Technology (CMVIT 2017)--IEEE(CPS)-Final Call !	Singapore
ASC 2017 	 The International Workshop on Affective and Sentimental Computing	Jeju Island, Korean
TFML 2017 	 Conference on Theoretical Foundations of Machine Learning 2017	Cracow, Poland
ICITM - IEEE 2017 	 6th International Conference on Industrial Technology and Managemen - IEEE, Ei	Clare College, Cambridge, UK
Call for book chapters ASCMLIP   2017 	 Advances in Soft Computing and Machine Learning in Image Processing (Springer)	N/A
SI	 CAfBMD 2016 : Springer Multimedia Tools and Applications Special Issue on Content Analysis for Big Multimedia Data	N/A
IWSPA 2017 	 3rd International Workshop on Security and Privacy Analytics 	Scottsdale, AZ
KALSIMIS 2017 	 Knowledge Acquisition and Learning in Semantic Interpretation of Medical Image Structures	Porto
WSDM Cup 2017 	 WSDM Cup 2017: Knowledge Base Quality and Search	Cambridge
KDD 2017 	 Knowledge Discovery and Data Mining	Halifax, Nova Scotia - Canada
ICMAA -MATEC 2017 	 International Conference on Mechanical, Aeronautical and Automotive Engineering-EI,Scopus	Malacca(Melaka), Malaysia
IEA/AIE NAAD 2017 	 Special Track on Novel Approaches to Anomaly Detection	Arras, France
SWJ - KB generation & population 2016 	 Semantic Web Journal - Special Issue on Machine Learning for Knowledge Base Generation and Population	N/A
MaLTeSQuE 2017 	 Machine Learning Techniques for Software Quality Evaluation	Klagenfurt
ESWC 2017 	 14th Extended Semantic Web Conference	Portoroz, Slovenia
CVIU 2016 	 Special Issue on Vision and Computational Photography and Graphics	N/A
ICMLC 2017 	 2017 9th International Conference on Machine Learning and Computing (ICMLC 2017)-ACM, Ei	Singapore
JWS-SS 2016 	 Journal of Web Semantics special issue on Semantic Statistics	N/A
ICBEA--Ei 2017 	 2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong
SoMePeAS 2017 	 ECIR 2017 Workshop on “Social Media for Personalization And Search”	Aberdeen, Scotland (UK)
iDSC 2017 	 1st International Data Science Conference	Salzburg, Austria
SCIA  2017 	 SCIA 2017, the Scandinavian Conference on Image Analysis	Tromsø, Norway
ICIVC 2017 	 2nd International Conference on Image, Vision and Computing	Chengdu, China
CCML 2017 	 The 16th China Conference on Machine Learning	Tianjin China
MLDM 2017 	 Machine Learning and Data Mining in Pattern Recognition	New York, USA
ICDEPI 2017 	 2017 International Conference on Design Engineering and Product Innovation (ICDEPI 2017)	Nanyang Technological University
EASL 2017 	 EACL 2017 Workshop on Symbolic and Deep Learning Approaches to the Analysis of Evaluative, Affective, and Subjective Language (EASL 2017)	Valencia, Spain
ISMIS 2017 	 23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
MOCO 2017 	 International Conference on Movement and Computing (MOCO 2017)	28-30th June, London UK
ACM--ICDLT 2017 	 ACM--2017 International Conference on Deep Learning Technologies (ICDLT 2017)--Ei Compendex and Scopus	Chengdu, China
ICMR 2017 	  ACM International Conference on Multimedia Retrieval	Bucharest, Romania
NLDB 2017 	 22nd International Conference on Natural Language & Information Systems 	University of Liège, Liège, Belgium
MAICS 2017 	 The 28th Modern Artificial Intelligence and Cognitive Science Conference	Fort Wayne, IN
ICRV 2017 	 IEEE--2017 3rd International Conference on Robotics and Vision (ICRV 2017)--Ei Compendex and Scopus	Wuhan, China
ACIRS-IEEE 2017 	 IEEE - 2nd Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)	Wuhan, China
IJCAI 2017 	 International Joint Conference on Artificial Intelligence	Melbourne, Australia
ICMMR 2017 	 2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
ICML 2017 	  34th International Conference on Machine Learning	Sydney
ICANN 2017 	 International Conference on Artificial Neural Networks 2017	Alghero/Sassari, Sardinia, Italy
PAML 2017 	 Privacy Aware Machine Learning	Reggio di Calabria
IEEE-ICRAS 2017 	 2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
AIM@EPIA 2017 	 Artificial Intelligence in Medicine	Porto, Portugal
ECML-PKDD 2017 	 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Skopje, Macedonia
ISIS 2017 	 The 18th International Symposium on Advanced Intelligent Systems (ISIS2017)	Daegu, South Korea
INIT/AERFAISummerSchoolML 2017 	 INIT/AERFAI Summer School on Machine Learning	Benicàssim (Spain)
DSAA 2017 	 The 4th IEEE International Conference on Data Science and Advanced Analytics 2017	Tokyo, Japan
ICONIP 2017 	 International Conference on Neural Information Processing	Guangzhou, China
NIPS	 Workshop on Action & Interaction 2016 : NIPS 2016 Workshop on Action and Interaction	Barcelona, Spain
ICIET 2017 	 5th International Conference on Information and Education Technology -ACM	Tokyo, Japan
ICLR 2017 	 5th International Conference on Learning Representations	  Palais des Congrès Neptune, Toulon, Fr
IEEE BigComp 2017 	 [Deadline Extension Oct 21, 2016] 2017 IEEE International Conference on Big Data and Smart Computing	Jeju Island
CML 2016 	 Constructive Machine Learning	Barcelona, Spain
EuroGP 2017 	 20th European Conference on Genetic Programming	Amsterdam
ICMLSC - ACM 2017 	 2017 International Conference on Machine Learning and Soft Computing (ICMLSC 2017)--Ei, ISI and Scopus	Ho Chi Minh City, Vietnam
PAKDD 2017 	 The 21st Pacific-Asia Conference on Knowledge Discovery and Data Mining	Jeju Island, Korea
NIPS ML4HC 2016 	 Machine Learning for Health @ NIPS 2016	Barcelona, Spain
ICPRAM 2017 	 International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
IRRATIONAL 2016 	 IMPERFECT DECISION MAKERS: ADMITTING  REAL-WORLD RATIONALITY	Barcelona
BigGraphs 2016 	 The 3rd IEEE Big Data Workshop on High Performance Big Graph Data Management, Analysis, and Mining	Washington, D.C.
ICPRAM 2017 	 6th International Conference on Pattern Recognition Applications and Methods	Porto, Portugal
VISAPP 2017 	 12th International Conference on Computer Vision Theory and Applications	Porto, Portugal
Special Issue GPEM 2016 	 Special Issue on Automated Design and Adaptation of Heuristics for Scheduling and Combinatorial Optimisation - Genetic Programming and Evolvable Machines (Springer)	N/A
SI-HKLMA 2016 	 Heterogeneous Knowledge Learning for Multimedia Analytics	N/A
FILM 2016 	 Future of Interactive Learning Machines Workshop @ NIPS 2016	Barcelona, Spain
AISTATS 2017 	 The 20th International Conference on Artificial Intelligence and Statistics	Fort Lauderdale, Florida, USA
BigData-BMLIT 2016 	 IEEE Workshop on Big Data and Machine Learning in Telecom In conjunction with the 2016 IEEE International Conference on Big Data	Washington DC, USA
Big EMPS 2016 	 Workshop on Big Data and Analytics for Emergency Management and Public Safety	Washington DC
ICCMA-EI 2016 	 4th International conference on Control, Mechatronics and Automation	Barcelona, Spain
FMBBS 2016 	 IEEE BIBM Workshop on Formal Methods for Biological and Biomedical Systems	Shenzhen, China
MAMLAKE 2017 	 Special Session on Modern Applications of Machine Learning for Actionable Knowledge Extraction	Kanazawa, Japan
ADS 2017 	 ACIIDS 2017 Special Session on Applications of Data Science	Kanazawa, Japan
CPSCom 2016 	 The 9th IEEE International Conference on Cyber, Physical and Social Computing	Chengdu, Sichuan, China
SoCPaR 2016 	 8th International Conference on Soft Computing & Pattern Recognition	VIT University, Vellore
VAAM 2016 	 Video Analytics for Audience Measurement 	Cancún - Mexico
WNUT 2016 	 The 2nd Workshop on Noisy User-generated Text @COLING	Osaka, Japan
EWRL 2016 	 The 13th European Workshop on Reinforcement Learning	Barcelona, Spain
AWRL 2016 	 First Asian Workshop on Reinforcement Learning	Hamilton, New Zealand
ACM SAC-RS 2017 	 ACM SIGAPP Symposium On Applied Computing 2017 - Track on Recommender Systems: Theory and Applications	Marrakech, Morocco
DATA STREAMS TRACK 2017 	 DATA STREAMS TRACK - ACM SAC 2017	Marrakech, Morocco
BDM-ISF 2016 	 Special issue on Behavioral-Data Mining in Information Systems and the Big Data Era	N/A
IEEE-ICSRS 2016 	 IEEE-2016 International Conference on System Reliability and Science (ICSRS 2016)-EI Compendex	Paris, France
ICMV 2016 	 EI Compendex & SCOPUS - 2016 The 9th International Conference on Machine Vision (SPIE-ICMV 2016)	Nice, France
ICBNA 2016 	 The 3rd International Conference on Bayesian Networks and Applications	Tunisia
WINVIZNN 2016 	 ACCV 2016 Workshop on Interpretation and Visualization of Deep Neural Nets	Taipei, Taiwan
MLHPC 2016 	 Machine Learning in High Performance Computing Environments Workshop	Salt Lake City, UT, USA
SeMaT 2016 	 AMTA 2016 Workshop on Semitic Machine Translation	Austin
MDDM 2016 	 1st International Workshop on Maritime Domain Data Mining at ICDM 2016	Barcelona
SoMeRis 2016 	 2nd International ICDM Workshop on Data Science for Social Media and Risk (SoMeRis 2016)	Barcelona, Spain
WiML 2016 	 11th Workshop for Women in Machine Learning, Co-located with NIPS	Barcelona, Spain
NTIRE 2016 	 ACCV 2016 - Workshop on New Trends in Image Restoration and Enhancement	Taipei, Taiwan
ICMME 2016 	 EI & Scopus--2016 3rd International Conference on Mechatronics and Mechanical Engineering (ICMME 2016) 	Shanghai,China
IEEE-ISCMI 2016 	 2016 3rd Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2016)-IEEE Xplore, Ei	Dubai, UAE
ACCVW-MLAC 2016 	 ACCV'16 Workshop on Multi-view Lip-reading & Audio-visual Challenges	Taipai, Taiwan
MLPM 2016 	 Special Session on Machine Learning for Predictive Models in Engineering Applications - IEEE ICMLA 2016	California
MLSB posters 2016 	 Call for Poster abstracts: 10th International Workshop Machine Learning in Systems Biology (MLSB-2016)	The Hague, Netherlands
WMLI 2016 	 ICANN 2016 Workshop on Machine Learning and Interpretability	Barcelona, Spain
AECIA 2016 	 Third International Afro-European Conference for Industrial Advancement	Marrakesh, Morrocco
Electronic Imaging 2017 	 IS&T International Symposium on Electronic Imaging 2017	Burlingame, CA
ACML 2016 	 8th Asian Conference on Machine Learning	Hamilton, New Zealand
BigDF 2016 	 IEEE International Workshop on Foundations of Big Data Computing	Hyderabad, India
MLSCPS 2016 	 2016 IEEE Workshop on Machine Learning in Security of Cyber-Physical Systems (MLSCPS)	Anaheim, CA, USA
ICFET 2016 	 The 2nd International Conference on Frontiers of Educational Technologies (ICFET 2016)	Singapore
IEEE HPSC  2016 	 The 3rd IEEE International Conference on High Performance and Smart Computing	Shenzhen, China
ALatIKNOW 2016 	 Active Learning: Applications, Foundations and Emerging Trends	Graz, Austria
AI 2016 	 The 29th Australasian Joint Conference on Artificial Intelligence	Hobart, Australia
ICRMV 2016 	 2016 International Conference on Robotics and Machine Vision (ICRMV 2016)-Scopus, Ei & Web of Science (CPCI)	Moscow, Russia
MECHA 2016 	 Third International Conference on Mechanical Engineering	Dubai,UAE
SSCI 2016 	 2016 IEEE Symposium on Computational Intelligence in Dynamic and Uncertain Environments	Athens, Greece
AICS 2016 	 24th Irish Conference on Artificial Intelligence and Cognitive Science	Dublin, Ireland
DARE 2016 	 ECML/PKDD 2016, 4th International Workshop on Data Analytics for Renewable Energy Integration	Riva del Garda, Italy
SCDS 2016 	 2nd International Conference on Soft Computing in Data Science 2016 (SCDS 2016)	Kuala Lumpur, Malaysia
SSDM 2017 	 The 2nd ECML/PKDD 2016 workshop on Statistically Sound Data Mining	Riva del Garda, Italy
Big Data 2016 	 The 4th International Workshop on Big Data	Chengdu, China
ICACSIS 2016 	  ICACSIS 2016 : 8th International Conference of Advanced Computer Science and Information Systems	Malang, Indonesia
IFLDS 2016 	 Special Issue on Information Fusion in Learning from Data Streams	N/A
CyberC 2016 	 CyberC (Tech. Sponsored by IEEE CS, IEEE Big Data, IEEE SDN) China Oct. 13-14, 2016	Chengdu, China
MIDAS 2016 	 The First Workshop on MIning DAta for financial applicationS @ECML-PKDD 2016	Riva del Garda (Italy)
ICRAE 2016 	 2016 International Conference on Robotics and Automation Engineering (ICRAE 2016)--EI compendex	Jeju Island, Korea
ISCMI 2016 	 3rd Intl. Conference on Soft Computing & Machine Intelligence	Dubai, UAE
DSS 2016 	 2nd International Workshop on  Data-driven Self-regulating Systems	Augsburg, Germany
ICMLA 2016 	  IEEE International Conference on Machine Learning and Applications (IEEE ICMLA'16)	Los Angeles, California, USA
VARVAI 2016 	 1st workshop on Virtual/Augmented Reality for Visual Artificial Intelligence	Amsterdam
MLSA 2016 	 Machine Learning and Data Mining for Sports Analytics (MLSA 16) @ ECML/PKDD 2016	Riva del Garda
SSDM 2016 	 The 2nd ECML/PKDD Workshop on Statistically Sound Data Mining	Riva del Garda, Italy
UCC - IDP 2016 	 UCC - IDP 2016: The 5th International Workshop on Intelligent Data Processing	Shanghai
HPCAC 2016 	 5th Annual Spain Conference 2016	Leon Spain
AIPR 2016 	 Applied Imagery Pattern Recognition	Washington DC
SCDS 2016 	 2nd International Conference on Soft Computing in Data Science 2016 (SCDS2016)	Kuala Lumpur
CITMIA 2016 	 Special Issue on Computational Intelligence Technique in Medical Image Analysis	N/A
CRC 2016 	 2016 International Conference on Cybernetics, Robotics and Control (CRC 2016) 	Hong Kong
MWDHealth 2016 	 The International Workshop on Mining Wearable Data for Healthcare 	Chicago
MWDHealth 2016 	 The International Workshop on Mining Wearable Data for Healthcare	Chicago
GCAI 2016 	 GCAI 2016, CfP, 2nd Global Conference on Artificial Intelligence, Berlin, Germany, 29th September - 2nd October 2016	Berlin, Germany
IEEE-ICRAS 2016 	 IEEE-2016 2th International Conference on Robotics and Automation Sciences (ICRAS 2016)-Ei Compendex 	New Taipei, Taiwan
DLRS 2016 	 Deep Learning for Recommender Systems	Boston, USA
CIBB 2016 	 Thirteenth International meeting on Computational Intelligence methods for Bioinformatics and Biostatistics	Stirling, Scotland, Great Britain
TENCON-SS-CITA 2016 	 Special Session on Computational Intelligence Techniques and Applications at TENCON 2016	Singapore
KDWEB 2016 	 2nd International Workshop on Knowledge Discovery on the Web	Cagliari, Italy
STSIVA 2016 	 21st Symposium on Signal Processing, Images and Artificial Vision	Bucaramanga, Colombia
YSM 2016 	 42nd Young Statisticians Meeting 	London
LWDA/KDML 2016 	 Workshop on Knowledge Discovery, Data Mining and Machine Learning	Potsdam, Germany
Smart X 2016 	 The 2016 International Conference on Smart X	Dalian, China
EGPAI 2016 	 1st International Workshop on Evaluating General-Purpose AI	The Hague, The Netherlands
ICGI 2016 	 The 13th International Conference on Grammatical Inference	Delft, The Netherlands
EEML 2016 	 Third International Workshop on Experimental Economics and Machine Learning	Moscow, Russia
IDEAL  2016 	 17th International Conference on Intelligent Data Engineering and Automated Learning	Yangzhou, China
IIP 2016 	 9th International Conference on Intelligent Infoemation Processing	Melbourne
PAPIs 2016 	 CFP: 3rd International Conference on Predictive APIs and Apps (PAPIs)	Boston
CIARP 2016 	 21st IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION	Lima, Peru
GlobalSIP 2016 	 2016 IEEE Symposium on Machine Learning for Characterization of Cognitive Communications and Radar	Washington, DC
ICMST--Ei 2016 	 Ei Compendex, Scopus--2016 7th International Conference on Manufacturing Science and Technology (ICMST 2016)	Sarawak, Malaysia
ENIC 2016 	 The Third European Network Intelligence Conference	Wrocław, Poland
MLICOM 2016 	 The First International  Conference on  Machine Learning and  Intelligent Communications	Shanghai
Industry Track RuleML 2016 	 10th International Web Rule Symposium (RuleML) 2016 Industry Track	Stonybrook, NY
KACSTIT 2016 	 The 4th Saudi International Conference on Information Technology  (Big Data Analysis)	Riyadh, Saudi Arabia
ITSBD 2016 	 International workshop on Intelligent Transportation Systems and Big Data 	Thessaloniki, Greece
ODD 2016 	 KDD 2016 Workshop on Outlier Definition, Detection, and Description on Demand	San Francisco
MLG 2016 	 12th International Workshop on Mining and Learning with Graphs	San Francisco, CA
EI-KDD 2016 	 KDD 2016 Workshop on Enterprise Intelligence	San Francisco, CA
ACMME--EI 2016 	 2016 4th Asia Conference on Mechanical and Materials Engineering (ACMME 2016)--Ei,ISI,Scopu	Kuala Lumpur, Malaysia
CD 2016 	 The 2016 ACM SIGKDD Workshop on Causal Discovery 	San Francisco, California
RAHA -  2016 	 Robotics and Automation for Humanitarian Applications	Amritapuri, Kerala, India
ANNPR 2016 	 Artificial Neural Networks for Pattern Recognition	Ulm University, Germany
DS 2016 	 19th International Conference on Discovery Science	Bari, Italy
ILP 2016 	 The 26th International Conference on Inductive Logic Programming	London, UK
DIM 2016 	 The Fifth IEEE International Workshop on Data Integration and Mining	Pittsburgh
NIPS 2016 	 The Thirtieth Annual Conference on Neural Information Processing Systems	Barcelona, SPAIN 
ACIRS 2016 	 IEEE-2016 Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2016)--EI Compendex	Tokyo, Japan
DSAA 2016 	 IEEE DSAA: Third International Conference on Data Science and Advanced Analytics	Montreal, Canada
IEEE-CCSSE 2016 	 2016 2nd International Conference on Control Science and Systems Engineering (CCSSE 2016)--IEEE Xplore and Ei Compendex	Singapore
CCIA 2016 	 19 th International Conference of the Catalan Association for Artificial Intelligence	Universitat Pompeu Fabra, Barcelona
HCOMP 2016 	 Conference on Human Computation and Crowdsourcing	Austin, TX, USA
JDSA Speical Issue 2016 	 Special issue on Causal Discovery for the Journal of Data Science and Analytics	N/A
TGC@ICONIP 2016 	 Special session on Topological & Graph-based Clustering,	Kyoto, Japan
EUVIP 2016 	 6th European Workshop on Visual Information Processing 	Marseille, France
ICSAE 2016 	 ICSAE 2016 2nd International Conference on Sustainable Automotive Engineering--EI Compendex	Lucerne, Switzerland 
MLSP Special Session 2016 	 Special Session @ MLSP 2016 : Computational Methods for Audio Analysis	Vietri Sul Mare, Italy
ICTTE-Ei 2016 	 EI Compendex--(ICTTE 2016)2016 5th International Conference on Transportation and Traffic Engineering	Lucerne, Switzerland 
EANN  2016 	 17th International Conference on Engineering Applications of Neural Networks 	Aberdeen, Scotland
CSIT 2016 	 The 7th International Conference on Computer Science & Information Technology 2016 [Indexed by IEEEXplore and technically co-sponsored By IEEE Computer Society]	Amman-Jordan
SMLIR 2016 	 2nd Workshop on Tools and Technologies in Statistics, Machine Learning and  Information Retrieval 	Thessaloniki, Greece, 
FuturePD 2016 	 The Future of Personal Data - International Workshop at ACM UMAP '16	Halifax
IDA 2016 2016 	 The 15th International Symposium on Intelligent Data Analysis	Stockholm
VS3 2016 	 Vision and Sports Summer School 2016	Prague
MLSP 2016 	 IEEE International Workshop on Machine Learning for Signal Processing	Salerno, Italy
TPDP 2016 	 Second workshop on the Theory and Practice of Differential Privacy	New York, USA
MLSP 2016 	 IEEE International Workshop on MACHINE LEARNING FOR SIGNAL PROCESSING	Vietri sul Mare, Salerno, Italy
ICAME--Ei 2016 	 2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)---SCOPUS & Ei	Singapore
AISI 2016 	 The 2nd International Conference on Advanced Intelligent Systems and Informatics (AISI’16)	Egypt
S3PBIGDATA 2016 	 IEEE Signal Processing Society Summer School on Signal Processing and Machine Learning for Big Data	Pittsburgh, PA, USA
S3PBIGDATA 2016 	 IEEE Signal Processing Society Summer School on Signal Processing and Machine Learning for Big Data	Pittsburgh, PA, USA
ICAME 2016 	 SCOPUS & Ei--2016 the 5th International Conference on Advances in Mechanics Engineering (ICAME 2016)	Singapore
ICROM 2016 	 ICROM 2016 The 3rd International Conference on Robotics and Mechatronics(SCOPUS, Ei Compendex)	Singapore
Summer School FCM 2016 	 First Summer School on Fuzzy Cognitive Maps	Volos, Greece
PAML 2016 	 Privacy Aware Machine Learning for Health Data Science	Salzburg
AIAP 2016 	 3rd International Conference on Artificial Intelligence and Applications	Vienna , Austria
ICMMR-Ei 2016 	 Ei & Scopus--2016 3rd International Conference on Mechanics and Mechatronics Research (ICMMR 2016)	Chongqing, China
ICONIP 2016 	 The 23rd International Conference on Neural Information Processing	Kyoto, Japan
MWDA 2016 	 WAIM2016 Workshop on Mobile Web Data Analytics	Nanchang, Jiangxi, China
DeepRL 2016 	 Deep Reinforcement Learning Workshop @IJCAI 2016	New York City, New York, USA
SPLINE 2016 	 International Workshop on Sensing Processing and Learning for Intelligent Machines	Aalborg, Denmark
IJCAI-KDHEALTH 2016 	 Workshop on Knowledge Discovery in Healthcare Data	New York City
BOOM 2016 	 IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)	New York, US
SML 2016 	 3rd International Workshop on Semantic Machine Learning	New York, USA
IML 2016 	 IJCAI International Workshop on Interactive Machine Learning	New York, USA
WIRN 2016 	 Italian Workshop on Neural Networks	Vietri s.m. (Salerno)
ITBAM 2016 	 7th International Conference on Information Technology in Bio- and Medical Informatics	Porto
ECAI 2016 	 European Conference on Artificial Intelligence	The Hague, the Netherlands
SMC-BMI 2016 	 6th Workshop on Brain-Machine Interfaces Systems @ SMC 2016	Budapest, Hungary
BDL 2016 	 Workshop on Big Data & Deep Learning in HPC [Springer LNCS] 	Porto
CAP 2016 	 Conférence francophone sur l’apprentissage automatique	Marseille (France)
GECCOsws 2016 	 GECCO Student Workshop	Denver, CO
FOCS 2016 	 57th Annual IEEE Symposium on Foundations of Computer Science	New Brunswick, New Jersey, USA
ECML-PKDD 2016 	 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery	Riva del Garda
ICMSC--EI 2016 	 EI &Scopus--2016 International Conference on Mechanical, System and Control Engineering (ICMSC 2016)	Moscow, Russia
SAEOpt 2016 	 Workshop on Surrogate-Assisted Evolutionary Optimisation (SAEOpt)	Denver, USA
AGI 2016 	 Artificial General Intelligence	New York City, USA
JCSSE  2016 	 The 13th International Joint Conference on Computer Science and Software Engineering 	Khon Kaen, Thailand
SCIS-ISIS 2016 	 Joint 8th International Conference on Soft Computing and Intelligent Systems and 17th International Symposium on Advanced Intelligent Systems	Sapporo, Hokkaido, Japan
INISTA 2016 	 International Symposium on INnovations in Intelligent SysTems and Applications	Sinaia, Romania
CVVT 2016 	 CVVT 2016 – 7th international Workshop on Computer Vision in Vehicle Technology @ CVPR 2016	Las Vegas, UASA
ASC-BA 2016 	 Applied Soft Computing for Business Analytics	N/A
ECCV 2016 	 European Conference on Computer Vision	Amsterdam, The Netherlands
ML-HPC 2016 	 NATIONAL CONFERENCE ON MACHINE LEARNING AND HIGH PERFORMANCE COMPUTING	Pune, India
AIFZ 2016 	 Second International Conference on Artificial Intelligence and Fuzzy Logic Systems	Chennai , India
PBVS 2016 	 12th IEEE Workshop on Perception Beyond the Visible Spectrum - In conjunction with CVPR 2016	Las Vegas, NV, USA
DMKD Special Issue 2016 	 Data Mining and Knowledge Discovery -- Special Issue on Sports Analytics	N/A
MOD 2016 	 2nd International Workshop on Machine learning, Optimization & big Data	Volterra (Pisa) Tuscany
PATTERN 2016 	 Special Issue on New Trends for Pattern Recognition: Theory & Applications	N/A
AIAPP 2016 	 Third International Conference on Artificial Intelligence and Applications	Geneva , Switzerland
BigDAW 2016 	 Workshop on Big Data Analytics (BigDAW16) at Computing Frontiers 2016	Como
EUSIPCO Special Session 2016 	 Special Session @ EUSIPCO 2016 : Advances on Linear-in-the-Parameters Nonlinear Filters and Their Application to Audio and Speech Processing	Budapest, Hungary
MAICS 2016 	 Modern AI and Cognitive Science Conference	University of Dayton, Dayton, Ohio
COOS 2016 	 The 4th International Workshop on Collaborative Online Organizations	Singapore
RFIA 2016 	 Reconnaissance  des Formes et  l'Intelligence Artificielle	Clermont-Ferrand, FRANCE
MASC-SLL 2016 	 Mid-Atlantic Student Colloquium on Speech, Language and Learning	Philadelphia, PA, USA
COLT 2016 	 Conference on Learning Theory	New York, NY, USA
KDD 2016 	 22nd ACM SIGKDD international conference on knowledge discovery and data mining	San Francisco, USA
ICMEAE-Ei 2016 	 Ei Compendex & Scopus--2016 3rd International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2016)	Singapore
ICCRE 2016 	 2016 International Conference on Control and Robotics Engineering (ICCRE 2016)--IEEE, Ei	Singapore
ICML 2016 	 33rd International Conference on Machine Learning (ICML-2016)	New York
GECCO 2016 	 The Genetic and Evolutionary Computation Conference 	Denver, CO
ALA 2016 	 Adaptive Learning Agents	Singapore
SecMAS 2016 	 Security and Multi-agent Systems Workshop at AAMAS 2016	Singapore
WCCI 2016 	 2016 IEEE World Congress on Computational Intelligence	Vancouver, Canada
Distributed Neural Networks@IJCNN 2016 	 Special Session on Distributed Learning Algorithms for Neural Networks	Vancouver (Canada)
IDAVis 2016 	 IDAVis 2016: Workshop on intelligent data analytics and visualization	Hangzhou, China
ICMR 2016 	 International Conference on Multimedia Retrieval	New York City
WebMiReS 2016 	  Web Mining and Recommender Systems-PAAMS Special Session	Sevilla, Spain
AI 2016 	 29th Canadian Conference on Artificial Intelligence	Victoria, BC, Canada
ParLearning 2016 	 The 5th International Workshop on Parallel and Distributed Computing for Large Scale Machine Learning and Big Data Analytics	Chicago, Illinois, USA
